<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,D,20190315,00:00:00,1183.4600000,1196.7500000,1183.4600000,1196.7500000,399892603
RI.RTSI,D,20190318,00:00:00,1204.0500000,1218.3500000,1201.7700000,1213.3500000,503344352
RI.RTSI,D,20190319,00:00:00,1218.1700000,1223.3300000,1214.4000000,1219.7800000,488248815
RI.RTSI,D,20190320,00:00:00,1220.0500000,1227.3300000,1216.7100000,1226.2600000,550949319
RI.RTSI,D,20190321,00:00:00,1235.7900000,1243.7000000,1234.0200000,1237.6800000,766722534
RI.RTSI,D,20190322,00:00:00,1237.0000000,1240.1400000,1209.1400000,1213.4000000,485385082
RI.RTSI,D,20190325,00:00:00,1212.0700000,1229.9300000,1205.1900000,1228.3400000,705407534
RI.RTSI,D,20190326,00:00:00,1228.3200000,1236.1900000,1223.8000000,1229.9600000,616531514
RI.RTSI,D,20190327,00:00:00,1228.4500000,1229.4300000,1207.2300000,1207.2300000,600291644
RI.RTSI,D,20190328,00:00:00,1209.1600000,1212.6400000,1203.3800000,1207.3100000,472550409
RI.RTSI,D,20190329,00:00:00,1210.1100000,1220.2200000,1194.9200000,1198.1100000,668368232
RI.RTSI,D,20190401,00:00:00,1200.8100000,1217.6800000,1200.0400000,1214.2900000,536441171
RI.RTSI,D,20190402,00:00:00,1220.3100000,1222.3400000,1211.0200000,1216.2000000,508542932
RI.RTSI,D,20190403,00:00:00,1222.4300000,1232.6400000,1221.0400000,1224.3500000,724120970
RI.RTSI,D,20190404,00:00:00,1222.0700000,1224.0000000,1214.7000000,1219.9400000,522941125
RI.RTSI,D,20190405,00:00:00,1219.6000000,1229.3100000,1219.6000000,1225.8400000,557761282
RI.RTSI,D,20190408,00:00:00,1225.7400000,1240.1600000,1225.7400000,1240.1600000,591362487
RI.RTSI,D,20190409,00:00:00,1244.3200000,1252.8800000,1242.9700000,1248.3800000,858414127
RI.RTSI,D,20190410,00:00:00,1248.1600000,1263.6100000,1245.1000000,1262.4800000,998588461
RI.RTSI,D,20190411,00:00:00,1262.7800000,1266.0800000,1245.1700000,1245.1700000,819103654
RI.RTSI,D,20190412,00:00:00,1245.8400000,1260.4900000,1243.6000000,1253.4400000,683493427
RI.RTSI,D,20190415,00:00:00,1255.8300000,1260.4600000,1242.7700000,1246.9900000,462212880
RI.RTSI,D,20190416,00:00:00,1248.5600000,1258.5300000,1244.7300000,1255.4500000,725697897
RI.RTSI,D,20190417,00:00:00,1259.7500000,1269.8600000,1259.7500000,1265.5100000,614314543
RI.RTSI,D,20190418,00:00:00,1266.1600000,1266.4800000,1254.2800000,1262.2800000,462296942
RI.RTSI,D,20190419,00:00:00,1263.0500000,1265.6000000,1259.2800000,1260.8200000,134100912
RI.RTSI,D,20190422,00:00:00,1266.2200000,1276.9800000,1266.2200000,1275.5900000,328563409
RI.RTSI,D,20190423,00:00:00,1277.5300000,1284.9100000,1271.5800000,1277.7100000,590064655
RI.RTSI,D,20190424,00:00:00,1279.0900000,1279.0900000,1257.9400000,1263.9700000,537871658
RI.RTSI,D,20190425,00:00:00,1261.8200000,1263.2000000,1244.8000000,1245.9800000,749450957
RI.RTSI,D,20190426,00:00:00,1247.1800000,1248.2900000,1239.9700000,1247.0100000,672918394
RI.RTSI,D,20190429,00:00:00,1248.3000000,1255.5500000,1247.2100000,1254.9600000,459783567
RI.RTSI,D,20190430,00:00:00,1255.6300000,1255.6300000,1244.8600000,1248.3900000,652260276
RI.RTSI,D,20190502,00:00:00,1247.0900000,1249.4100000,1236.9400000,1238.0500000,402861475
RI.RTSI,D,20190503,00:00:00,1242.3800000,1250.7900000,1239.3800000,1248.3900000,455546251
RI.RTSI,D,20190506,00:00:00,1243.4400000,1245.5900000,1228.1500000,1245.5900000,398838195
RI.RTSI,D,20190507,00:00:00,1245.2300000,1247.9500000,1234.9300000,1237.8600000,552519764
RI.RTSI,D,20190508,00:00:00,1235.2000000,1239.8600000,1229.0100000,1233.0500000,485397367
RI.RTSI,D,20190510,00:00:00,1228.8200000,1229.6900000,1210.6700000,1213.7900000,498537742
RI.RTSI,D,20190513,00:00:00,1216.0000000,1221.5300000,1206.9600000,1207.5700000,524430137
RI.RTSI,D,20190514,00:00:00,1210.2700000,1243.9600000,1208.7000000,1241.5100000,1264015093
RI.RTSI,D,20190515,00:00:00,1247.2500000,1251.4100000,1239.0200000,1247.0200000,1023608816
