<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,10,20200103,10:10:00,1554.7200000,1565.6500000,1553.8000000,1565.0000000,39809130
RI.RTSI,10,20200103,10:20:00,1565.0700000,1565.8900000,1560.5400000,1560.7600000,18517072
RI.RTSI,10,20200103,10:30:00,1560.8700000,1561.9900000,1560.6600000,1561.5100000,12244158
RI.RTSI,10,20200103,10:40:00,1561.5200000,1561.7200000,1559.7300000,1560.6500000,9741172
RI.RTSI,10,20200103,10:50:00,1560.7100000,1561.2300000,1559.3700000,1559.3700000,8720138
RI.RTSI,10,20200103,11:00:00,1559.4000000,1559.4000000,1555.2200000,1555.4200000,11914736
RI.RTSI,10,20200103,11:10:00,1555.4300000,1561.6000000,1554.9400000,1561.4500000,27835915
RI.RTSI,10,20200103,11:20:00,1561.5100000,1563.5300000,1560.8700000,1563.0300000,22261601
RI.RTSI,10,20200103,11:30:00,1563.0800000,1564.8100000,1562.0500000,1564.8100000,12097790
RI.RTSI,10,20200103,11:40:00,1564.7800000,1566.7600000,1563.8400000,1566.2100000,20208348
RI.RTSI,10,20200103,11:50:00,1566.2200000,1567.1700000,1564.9200000,1565.7300000,13581462
RI.RTSI,10,20200103,12:00:00,1565.8000000,1567.4900000,1565.2800000,1567.4900000,16619607
RI.RTSI,10,20200103,12:10:00,1567.5100000,1567.8600000,1564.5900000,1564.5900000,12601605
RI.RTSI,10,20200103,12:20:00,1564.6200000,1565.1800000,1563.8900000,1565.1600000,11891657
RI.RTSI,10,20200103,12:30:00,1565.2300000,1566.3000000,1564.6400000,1566.0200000,11541591
RI.RTSI,10,20200103,12:40:00,1566.0300000,1566.8400000,1565.0700000,1566.4500000,13644437
RI.RTSI,10,20200103,12:50:00,1566.3900000,1566.5900000,1564.9100000,1565.4000000,10357453
RI.RTSI,10,20200103,13:00:00,1565.4200000,1565.6600000,1564.0100000,1564.4400000,11259787
RI.RTSI,10,20200103,13:10:00,1564.3700000,1566.5700000,1564.3700000,1566.0800000,11864003
RI.RTSI,10,20200103,13:20:00,1566.0800000,1566.1400000,1564.5500000,1565.9000000,12209207
RI.RTSI,10,20200103,13:30:00,1565.8800000,1566.8400000,1565.5100000,1566.7500000,7955763
RI.RTSI,10,20200103,13:40:00,1566.7600000,1566.7800000,1565.3800000,1566.2200000,8770426
RI.RTSI,10,20200103,13:50:00,1566.2200000,1566.3200000,1565.7500000,1566.1100000,8213505
RI.RTSI,10,20200103,14:00:00,1566.0900000,1566.4200000,1565.4500000,1566.2400000,10880701
RI.RTSI,10,20200103,14:10:00,1566.2200000,1566.6500000,1565.9100000,1566.3200000,5914443
RI.RTSI,10,20200103,14:20:00,1566.3300000,1566.4600000,1564.0800000,1564.2900000,13326578
RI.RTSI,10,20200103,14:30:00,1564.2900000,1564.9400000,1564.1400000,1564.3500000,9449242
RI.RTSI,10,20200103,14:40:00,1564.3500000,1564.3500000,1563.2000000,1563.5400000,8115562
RI.RTSI,10,20200103,14:50:00,1563.5300000,1563.6600000,1562.2900000,1562.7000000,15030257
RI.RTSI,10,20200103,15:00:00,1562.6700000,1563.0900000,1562.3000000,1562.5900000,9403841
RI.RTSI,10,20200103,15:10:00,1562.5600000,1562.5600000,1560.6300000,1561.2500000,12564893
RI.RTSI,10,20200103,15:20:00,1561.2000000,1561.3600000,1559.7900000,1560.0400000,11965962
RI.RTSI,10,20200103,15:30:00,1560.0600000,1560.3100000,1559.4200000,1559.8200000,9629629
RI.RTSI,10,20200103,15:40:00,1559.8200000,1559.8600000,1558.6400000,1559.4400000,11299365
RI.RTSI,10,20200103,15:50:00,1559.4600000,1559.6200000,1558.4600000,1558.6800000,9008102
RI.RTSI,10,20200103,16:00:00,1558.6900000,1560.2600000,1557.8600000,1559.9500000,9488905
RI.RTSI,10,20200103,16:10:00,1559.9400000,1561.6100000,1559.7300000,1561.4900000,8772312
RI.RTSI,10,20200103,16:20:00,1561.4800000,1561.8300000,1560.3000000,1560.6100000,6647840
RI.RTSI,10,20200103,16:30:00,1560.6100000,1561.9900000,1560.5600000,1561.5800000,7179815
RI.RTSI,10,20200103,16:40:00,1561.6400000,1562.5000000,1560.6000000,1560.7700000,6095948
RI.RTSI,10,20200103,16:50:00,1560.7300000,1561.2100000,1560.1900000,1560.4100000,7899586
RI.RTSI,10,20200103,17:00:00,1560.4900000,1560.7200000,1558.5200000,1559.4300000,12069156
RI.RTSI,10,20200103,17:10:00,1559.4200000,1560.0100000,1558.5800000,1559.8100000,9210140
RI.RTSI,10,20200103,17:20:00,1559.8400000,1559.9100000,1557.5300000,1557.7700000,12460979
RI.RTSI,10,20200103,17:30:00,1557.7100000,1558.1500000,1556.6700000,1557.6500000,11832212
RI.RTSI,10,20200103,17:40:00,1557.2700000,1561.2300000,1557.2700000,1559.2700000,14830727
RI.RTSI,10,20200103,17:50:00,1559.2700000,1561.4300000,1559.2700000,1561.1100000,10273249
RI.RTSI,10,20200103,18:00:00,1561.0800000,1561.8800000,1560.0400000,1561.8600000,16227093
RI.RTSI,10,20200103,18:10:00,1561.5200000,1563.2800000,1560.9700000,1563.2500000,18807150
RI.RTSI,10,20200103,18:20:00,1563.2700000,1564.0500000,1562.7900000,1563.4700000,13993377
RI.RTSI,10,20200103,18:30:00,1563.1400000,1563.4500000,1561.4600000,1561.4600000,22783407
RI.RTSI,10,20200103,18:40:00,1561.5300000,1561.6200000,1559.6400000,1560.1100000,25280202
RI.RTSI,10,20200103,18:50:00,1560.1100000,1560.1100000,1560.1100000,1560.1100000,0
RI.RTSI,10,20200103,19:00:00,1564.1800000,1564.1800000,1564.1800000,1564.1800000,44077624
RI.RTSI,10,20200106,10:10:00,1560.3600000,1562.0400000,1549.8000000,1550.6000000,42362419
RI.RTSI,10,20200106,10:20:00,1550.5500000,1552.5300000,1549.5200000,1552.2300000,23114035
RI.RTSI,10,20200106,10:30:00,1552.2200000,1552.4900000,1550.6000000,1551.9700000,19174749
RI.RTSI,10,20200106,10:40:00,1551.7200000,1555.4700000,1551.0100000,1555.0800000,13740023
RI.RTSI,10,20200106,10:50:00,1555.1800000,1555.5200000,1554.2200000,1554.7800000,7594941
RI.RTSI,10,20200106,11:00:00,1554.8100000,1555.1300000,1553.0700000,1553.1500000,8865266
RI.RTSI,10,20200106,11:10:00,1553.1700000,1557.3500000,1552.7200000,1557.3000000,20554236
RI.RTSI,10,20200106,11:20:00,1557.3000000,1557.9800000,1556.0400000,1557.1700000,14647532
RI.RTSI,10,20200106,11:30:00,1557.1400000,1559.4400000,1557.1400000,1557.6800000,15459025
RI.RTSI,10,20200106,11:40:00,1557.6400000,1557.9300000,1554.6300000,1554.7800000,14143425
RI.RTSI,10,20200106,11:50:00,1554.7800000,1555.9100000,1554.0000000,1555.7100000,15011474
RI.RTSI,10,20200106,12:00:00,1555.6900000,1555.8200000,1552.8900000,1553.1500000,13832867
RI.RTSI,10,20200106,12:10:00,1553.1800000,1554.5100000,1552.6400000,1552.8000000,10538551
RI.RTSI,10,20200106,12:20:00,1552.7900000,1553.2300000,1552.0500000,1553.0900000,10817799
RI.RTSI,10,20200106,12:30:00,1553.1200000,1553.1200000,1551.1500000,1551.1700000,10359734
RI.RTSI,10,20200106,12:40:00,1551.3100000,1551.8800000,1550.6300000,1551.7900000,13408224
RI.RTSI,10,20200106,12:50:00,1551.8000000,1553.6200000,1551.3600000,1553.6200000,9125979
RI.RTSI,10,20200106,13:00:00,1553.6300000,1553.8500000,1553.1300000,1553.3200000,7978520
RI.RTSI,10,20200106,13:10:00,1553.1400000,1553.9600000,1552.8500000,1553.3100000,10754423
RI.RTSI,10,20200106,13:20:00,1553.3100000,1553.9100000,1552.7100000,1553.8900000,7161218
RI.RTSI,10,20200106,13:30:00,1553.9200000,1555.6600000,1553.8400000,1554.9600000,8900932
RI.RTSI,10,20200106,13:40:00,1555.0100000,1555.9200000,1555.0100000,1555.2500000,7507278
RI.RTSI,10,20200106,13:50:00,1555.2200000,1556.0400000,1554.7600000,1555.4200000,8427215
RI.RTSI,10,20200106,14:00:00,1555.5000000,1555.8700000,1555.3700000,1555.6300000,4962898
RI.RTSI,10,20200106,14:10:00,1555.6400000,1555.9600000,1554.5400000,1554.5800000,5426021
