<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,D,20140106,00:00:00,1436.3600000,1436.3600000,1387.2300000,1391.8300000,0
RI.RTSI,D,20140108,00:00:00,1391.9000000,1399.1900000,1387.8600000,1392.0900000,0
RI.RTSI,D,20140109,00:00:00,1393.8600000,1398.4800000,1387.4800000,1391.9400000,0
RI.RTSI,D,20140110,00:00:00,1392.4300000,1397.3900000,1378.7000000,1396.3600000,0
RI.RTSI,D,20140113,00:00:00,1397.7600000,1410.6200000,1395.2900000,1399.5300000,0
RI.RTSI,D,20140114,00:00:00,1394.0800000,1394.5900000,1374.7400000,1390.7500000,0
RI.RTSI,D,20140115,00:00:00,1393.9300000,1402.1400000,1391.9200000,1399.9200000,0
RI.RTSI,D,20140116,00:00:00,1402.4300000,1406.9000000,1394.2400000,1399.8600000,0
RI.RTSI,D,20140117,00:00:00,1398.0200000,1409.1700000,1389.5900000,1395.6600000,0
RI.RTSI,D,20140120,00:00:00,1395.8100000,1399.0200000,1389.4900000,1392.3000000,0
RI.RTSI,D,20140121,00:00:00,1399.3400000,1402.3300000,1391.5900000,1394.5100000,0
RI.RTSI,D,20140122,00:00:00,1398.1600000,1398.3200000,1385.0500000,1389.0600000,0
RI.RTSI,D,20140123,00:00:00,1390.8300000,1397.6800000,1380.9500000,1387.3300000,0
RI.RTSI,D,20140124,00:00:00,1378.1900000,1378.1900000,1357.3300000,1362.5000000,0
RI.RTSI,D,20140127,00:00:00,1357.9800000,1357.9800000,1334.5400000,1347.2800000,0
RI.RTSI,D,20140128,00:00:00,1346.3600000,1354.0400000,1330.8900000,1338.4000000,0
RI.RTSI,D,20140129,00:00:00,1338.7500000,1356.1000000,1304.2300000,1315.0200000,0
RI.RTSI,D,20140130,00:00:00,1311.5700000,1323.6700000,1286.6600000,1321.2600000,0
RI.RTSI,D,20140131,00:00:00,1321.4600000,1321.4600000,1294.3400000,1301.0700000,0
RI.RTSI,D,20140203,00:00:00,1306.4100000,1309.3600000,1288.0400000,1289.0300000,0
RI.RTSI,D,20140204,00:00:00,1279.2300000,1293.5600000,1265.7100000,1291.5100000,0
RI.RTSI,D,20140205,00:00:00,1294.3900000,1322.1500000,1294.3900000,1314.4700000,0
RI.RTSI,D,20140206,00:00:00,1316.8300000,1334.3700000,1316.8300000,1332.1200000,0
RI.RTSI,D,20140207,00:00:00,1334.8600000,1349.0000000,1333.2800000,1340.5000000,0
RI.RTSI,D,20140210,00:00:00,1341.4400000,1346.6500000,1335.7500000,1337.2500000,0
RI.RTSI,D,20140211,00:00:00,1338.1400000,1350.6100000,1333.3600000,1343.8100000,0
RI.RTSI,D,20140212,00:00:00,1348.0900000,1357.5700000,1346.9900000,1354.6000000,0
RI.RTSI,D,20140213,00:00:00,1349.6800000,1349.9900000,1319.0200000,1322.2700000,0
RI.RTSI,D,20140214,00:00:00,1330.7600000,1347.1900000,1321.6100000,1340.5900000,0
RI.RTSI,D,20140217,00:00:00,1346.8700000,1359.5800000,1345.2800000,1347.4100000,0
RI.RTSI,D,20140218,00:00:00,1347.7600000,1354.3100000,1341.1500000,1343.6200000,0
RI.RTSI,D,20140219,00:00:00,1342.4600000,1342.4600000,1302.5800000,1306.0000000,0
RI.RTSI,D,20140220,00:00:00,1300.4100000,1304.9800000,1291.6100000,1303.1500000,0
RI.RTSI,D,20140221,00:00:00,1305.8800000,1318.1000000,1304.1500000,1315.5400000,0
RI.RTSI,D,20140224,00:00:00,1315.5600000,1324.4400000,1311.2300000,1318.9800000,0
RI.RTSI,D,20140225,00:00:00,1318.9800000,1325.1400000,1301.0700000,1306.3700000,0
RI.RTSI,D,20140226,00:00:00,1306.9000000,1307.9300000,1281.0300000,1286.0700000,0
RI.RTSI,D,20140227,00:00:00,1285.8300000,1290.4300000,1244.3800000,1260.9500000,0
RI.RTSI,D,20140228,00:00:00,1262.9100000,1268.3800000,1243.9600000,1267.2700000,0
RI.RTSI,D,20140303,00:00:00,1239.7700000,1239.7700000,1087.4600000,1115.0600000,0
RI.RTSI,D,20140304,00:00:00,1121.6800000,1191.0500000,1121.6800000,1184.2200000,0
RI.RTSI,D,20140305,00:00:00,1188.1900000,1190.5900000,1158.4000000,1182.0500000,0
RI.RTSI,D,20140306,00:00:00,1182.7400000,1194.9400000,1129.8700000,1164.6300000,0
RI.RTSI,D,20140307,00:00:00,1163.0700000,1179.2000000,1148.7100000,1158.8700000,0
RI.RTSI,D,20140311,00:00:00,1153.5700000,1155.9700000,1129.0400000,1132.0500000,0
RI.RTSI,D,20140312,00:00:00,1126.9100000,1126.9100000,1098.2100000,1100.1400000,0
RI.RTSI,D,20140313,00:00:00,1104.4900000,1111.1900000,1077.8900000,1077.8900000,0
RI.RTSI,D,20140314,00:00:00,1064.1900000,1065.2500000,1016.0100000,1062.4700000,0
RI.RTSI,D,20140317,00:00:00,1070.4100000,1119.2400000,1063.9300000,1114.6600000,0
RI.RTSI,D,20140318,00:00:00,1121.6000000,1164.3800000,1100.5600000,1161.2600000,0
RI.RTSI,D,20140319,00:00:00,1160.7800000,1177.7700000,1146.5000000,1155.8100000,0
RI.RTSI,D,20140320,00:00:00,1142.8000000,1157.1900000,1136.5900000,1150.8200000,0
RI.RTSI,D,20140321,00:00:00,1127.5200000,1136.9800000,1098.5500000,1136.2100000,0
RI.RTSI,D,20140324,00:00:00,1135.1100000,1161.9100000,1131.4600000,1131.6000000,0
RI.RTSI,D,20140325,00:00:00,1135.0700000,1178.2900000,1127.7200000,1170.2000000,0
RI.RTSI,D,20140326,00:00:00,1176.4500000,1208.0400000,1176.4500000,1198.8900000,0
RI.RTSI,D,20140327,00:00:00,1193.4800000,1196.5200000,1167.7000000,1179.4700000,0
RI.RTSI,D,20140328,00:00:00,1180.5100000,1192.8400000,1172.5800000,1186.2800000,0
RI.RTSI,D,20140331,00:00:00,1187.6000000,1226.1000000,1184.8200000,1226.1000000,0
RI.RTSI,D,20140401,00:00:00,1227.1300000,1241.9000000,1219.4900000,1235.7400000,0
RI.RTSI,D,20140402,00:00:00,1236.5000000,1239.6900000,1211.8500000,1222.4700000,0
RI.RTSI,D,20140403,00:00:00,1222.9300000,1227.7800000,1205.5200000,1210.7100000,0
RI.RTSI,D,20140404,00:00:00,1213.0900000,1240.2900000,1207.8000000,1233.9300000,0
RI.RTSI,D,20140407,00:00:00,1225.4900000,1225.4900000,1176.6700000,1193.7800000,0
RI.RTSI,D,20140408,00:00:00,1194.4800000,1199.8400000,1180.8900000,1195.7100000,0
RI.RTSI,D,20140409,00:00:00,1195.8000000,1198.5500000,1179.2800000,1190.1300000,0
RI.RTSI,D,20140410,00:00:00,1196.2500000,1213.4600000,1193.6500000,1213.4600000,0
RI.RTSI,D,20140411,00:00:00,1199.5000000,1212.5500000,1189.6100000,1204.0700000,0
RI.RTSI,D,20140414,00:00:00,1200.2200000,1200.2200000,1170.0600000,1179.9700000,0
RI.RTSI,D,20140415,00:00:00,1175.5400000,1181.0200000,1141.3700000,1142.9600000,0
RI.RTSI,D,20140416,00:00:00,1146.2600000,1157.9100000,1134.7800000,1154.3100000,0
RI.RTSI,D,20140417,00:00:00,1157.5900000,1173.6400000,1154.4800000,1172.6200000,0
RI.RTSI,D,20140418,00:00:00,1194.1100000,1207.4700000,1194.1100000,1200.2200000,0
RI.RTSI,D,20140421,00:00:00,1200.4400000,1200.9300000,1184.9400000,1187.9400000,0
RI.RTSI,D,20140422,00:00:00,1186.1000000,1186.5500000,1169.1600000,1178.8100000,0
RI.RTSI,D,20140423,00:00:00,1178.0200000,1179.0200000,1168.0900000,1171.9900000,0
RI.RTSI,D,20140424,00:00:00,1174.5200000,1177.4100000,1135.5000000,1145.6600000,0
RI.RTSI,D,20140425,00:00:00,1140.6200000,1140.6200000,1117.4500000,1119.3700000,0
RI.RTSI,D,20140428,00:00:00,1114.9500000,1142.7000000,1100.8500000,1139.2900000,0
RI.RTSI,D,20140429,00:00:00,1149.4800000,1167.9000000,1148.7900000,1153.3600000,0
RI.RTSI,D,20140430,00:00:00,1153.8700000,1156.1800000,1142.4400000,1155.7000000,0
RI.RTSI,D,20140502,00:00:00,1151.7000000,1151.7000000,1139.5900000,1148.9600000,0
RI.RTSI,D,20140505,00:00:00,1144.1800000,1148.6300000,1134.3100000,1143.4400000,0
RI.RTSI,D,20140506,00:00:00,1144.8600000,1174.9800000,1144.8600000,1172.9100000,0
RI.RTSI,D,20140507,00:00:00,1169.5800000,1241.3800000,1167.5500000,1227.7500000,0
RI.RTSI,D,20140508,00:00:00,1230.0000000,1246.5000000,1215.3500000,1232.7800000,0
RI.RTSI,D,20140512,00:00:00,1233.7200000,1241.4300000,1221.8900000,1234.3100000,0
RI.RTSI,D,20140513,00:00:00,1234.8900000,1262.0600000,1233.7600000,1254.2900000,0
RI.RTSI,D,20140514,00:00:00,1254.2400000,1261.0100000,1250.0800000,1261.0100000,0
RI.RTSI,D,20140515,00:00:00,1262.4000000,1271.3300000,1252.0000000,1253.0000000,0
RI.RTSI,D,20140516,00:00:00,1250.0600000,1262.0100000,1243.3300000,1262.0100000,0
RI.RTSI,D,20140519,00:00:00,1262.6500000,1294.0900000,1262.1200000,1289.9800000,0
RI.RTSI,D,20140520,00:00:00,1291.5200000,1301.3800000,1279.3700000,1298.6400000,0
RI.RTSI,D,20140521,00:00:00,1298.9900000,1318.7300000,1292.3000000,1317.0900000,0
RI.RTSI,D,20140522,00:00:00,1322.1700000,1326.3300000,1304.4500000,1312.9700000,0
RI.RTSI,D,20140523,00:00:00,1311.5700000,1331.6800000,1305.7200000,1326.5800000,0
RI.RTSI,D,20140526,00:00:00,1328.4300000,1344.5300000,1326.6300000,1335.7300000,0
RI.RTSI,D,20140527,00:00:00,1335.1100000,1335.1100000,1290.4800000,1297.5000000,0
RI.RTSI,D,20140528,00:00:00,1297.9400000,1304.4000000,1285.6200000,1300.4600000,0
RI.RTSI,D,20140529,00:00:00,1301.8900000,1319.0100000,1297.2700000,1314.7100000,0
RI.RTSI,D,20140530,00:00:00,1315.4100000,1318.4000000,1295.7500000,1295.7500000,0
